,Borough,Latitude,Longitude,Venue,Venue Latitude,Venue Longitude,Venue category,Venue Category
27,City of London,51.5155,-0.0922,Black Sheep Coffee,51.51549437665514,-0.09008280528236012,Coffee Shop,food
28,City of London,51.5155,-0.0922,Black Sheep Coffee,51.51455913662866,-0.09460299570341206,Coffee Shop,food
29,City of London,51.5155,-0.0922,Brigadiers,51.51272137300544,-0.09192158012225396,Indian Restaurant,food
30,City of London,51.5155,-0.0922,Wahaca,51.51403369046022,-0.09555596762757348,Mexican Restaurant,food
31,City of London,51.5155,-0.0922,Sweetings,51.512441662798395,-0.09272347457051053,Seafood Restaurant,food
32,City of London,51.5155,-0.0922,Pilpel,51.51519526381051,-0.09846207739921972,Falafel Restaurant,food
33,City of London,51.5155,-0.0922,Nyokee,51.51199079852908,-0.09371891479045343,Café,food
34,City of London,51.5155,-0.0922,Postman's Park,51.51685979391399,-0.09764256711433734,Park,parks_outdoors
35,City of London,51.5155,-0.0922,Le Relais de Venise,51.51472701617397,-0.08652679245633464,French Restaurant,food
36,City of London,51.5155,-0.0922,Ekte Nordic Kitchen,51.5125492357495,-0.09188331418860315,Scandinavian Restaurant,food
37,City of London,51.5155,-0.0922,Kaia,51.513887461990876,-0.0894410654711039,Asian Restaurant,food
38,City of London,51.5155,-0.0922,itsu,51.514224253396,-0.09415765634074848,Sushi Restaurant,food
39,City of London,51.5155,-0.0922,Cecconi's,51.513595363755314,-0.09009868732100629,Italian Restaurant,food
40,City of London,51.5155,-0.0922,Planet of the Grapes,51.51246839117881,-0.09353420805588591,Wine Bar,food
41,City of London,51.5155,-0.0922,Wild & Wood Coffee,51.517148,-0.088302,Coffee Shop,food
42,City of London,51.5155,-0.0922,Drapers' Hall,51.51500872287517,-0.08622681567011208,Event Space,building
43,City of London,51.5155,-0.0922,Royal Exchange Grind,51.51382357130653,-0.08772569937862149,Coffee Shop,food
44,City of London,51.5155,-0.0922,The Royal Exchange,51.513694667814285,-0.08735398816951305,Historic Site,arts_entertainment
45,City of London,51.5155,-0.0922,Leon,51.51299987972237,-0.0936693797421579,Restaurant,food
46,City of London,51.5155,-0.0922,Koya City,51.512320077429145,-0.09162180003063267,Udon Restaurant,food
47,City of London,51.5155,-0.0922,Banh Mi Bay,51.512620667737586,-0.09484692689287624,Vietnamese Restaurant,food
48,City of London,51.5155,-0.0922,Bread Street Kitchen,51.513308767544096,-0.09491560239236255,English Restaurant,food
49,City of London,51.5155,-0.0922,Bloomberg Arcade,51.5122280202577,-0.09138822555541992,Pedestrian Plaza,parks_outdoors
50,City of London,51.5155,-0.0922,Virgin Active,51.517951574944,-0.09765118360519409,Gym / Fitness Center,building
51,City of London,51.5155,-0.0922,Barbican Concert Hall,51.519632262755046,-0.09366137745382495,Concert Hall,arts_entertainment
52,City of London,51.5155,-0.0922,The Cosy Coffee Corner,51.512834,-0.088221,Café,food
53,City of London,51.5155,-0.0922,Coya Angel Court,51.5149821429662,-0.087337601567967,Peruvian Restaurant,food
54,City of London,51.5155,-0.0922,Paul,51.5131804004972,-0.09362648546565658,Bakery,food
55,City of London,51.5155,-0.0922,The Fortnum's Bar & Restaurant,51.513599,-0.087253,Restaurant,food
56,City of London,51.5155,-0.0922,Barbican Theatre,51.51972176714491,-0.09360561617624982,Theater,arts_entertainment
57,City of London,51.5155,-0.0922,Barbican Art Gallery,51.519799557371044,-0.093968703496289,Art Gallery,arts_entertainment
58,City of London,51.5155,-0.0922,Barbican Centre,51.519855,-0.093942,Performing Arts Venue,arts_entertainment
59,City of London,51.5155,-0.0922,Christ Church Greyfriars Garden,51.51566979481579,-0.09875984044493062,Garden,parks_outdoors
60,City of London,51.5155,-0.0922,Madison’s Terrace Bar at St. Paul,51.513877777807934,-0.09593390957488127,Lounge,nightlife
61,City of London,51.5155,-0.0922,Barbican Highwalk,51.518427051779,-0.09505111975997232,Scenic Lookout,parks_outdoors
62,City of London,51.5155,-0.0922,Notes,51.51514527267861,-0.0874294447678001,Coffee Shop,food
63,City of London,51.5155,-0.0922,1 Lombard Street,51.513179495111764,-0.08887232794864129,Restaurant,food
64,City of London,51.5155,-0.0922,Pret A Manger,51.51354922268993,-0.09349660650131422,Sandwich Place,food
65,City of London,51.5155,-0.0922,Mint Leaf Lounge,51.51493452381513,-0.08746138288923423,Indian Restaurant,food
66,City of London,51.5155,-0.0922,St Paul's Churchyard,51.513449906831404,-0.09717106819152832,Park,parks_outdoors
67,City of London,51.5155,-0.0922,Barbican Conservatory,51.51985862219709,-0.093201833945014,Botanical Garden,parks_outdoors
68,City of London,51.5155,-0.0922,Light Centre Moorgate,51.51737995846681,-0.08806487357483081,Yoga Studio,shops
69,City of London,51.5155,-0.0922,Caravan City,51.51190703456827,-0.09096666041658992,Café,food
70,City of London,51.5155,-0.0922,Ye Olde Watling,51.5129316567795,-0.09356248849274855,Pub,nightlife
71,City of London,51.5155,-0.0922,Coco di Mama,51.517326,-0.088226,Italian Restaurant,food
72,City of London,51.5155,-0.0922,Chilango,51.516949904989545,-0.08651476682985651,Burrito Place,food
73,City of London,51.5155,-0.0922,Virgin Active,51.514444752021404,-0.08530229330062866,Gym / Fitness Center,building
74,City of London,51.5155,-0.0922,Barbican Garden,51.51931222434234,-0.09275238371765825,Garden,parks_outdoors
75,City of London,51.5155,-0.0922,Ladurée,51.51332967120695,-0.08750742332519085,Dessert Shop,food
76,City of London,51.5155,-0.0922,The Wren,51.51204901406224,-0.0967987358657121,Coffee Shop,food
77,City of London,51.5155,-0.0922,One New Change,51.513901273434854,-0.09552254550425712,Shopping Mall,shops
78,City of London,51.5155,-0.0922,Kobox,51.516844575815355,-0.0853345005044312,Boxing Gym,building
79,City of London,51.5155,-0.0922,The Don,51.51185625283148,-0.0890447957003017,French Restaurant,food
80,City of London,51.5155,-0.0922,Vintry And Mercer,51.511289,-0.09374,Hotel,travel
81,City of London,51.5155,-0.0922,Notes Coffee & Wine,51.51920196046105,-0.08949557823320635,Coffee Shop,food
82,City of London,51.5155,-0.0922,Nando's,51.513775775755576,-0.09567242417815094,Portuguese Restaurant,food
83,City of London,51.5155,-0.0922,wagamama,51.51178853208023,-0.09330553235815842,Asian Restaurant,food
84,City of London,51.5155,-0.0922,St Swithin's Wine Shippers,51.511978,-0.089094,Wine Bar,food
85,City of London,51.5155,-0.0922,London Mithraeum Bloomberg SPACE,51.512241374386456,-0.09047627449035643,History Museum,arts_entertainment
86,City of London,51.5155,-0.0922,K10,51.515424692343245,-0.09003120548226638,Sushi Restaurant,food
87,City of London,51.5155,-0.0922,Hoxton Beach Falafel,51.51981874664845,-0.09391094136608936,Food Truck,food
88,City of London,51.5155,-0.0922,Crussh,51.517321498210116,-0.08804535927842623,Juice Bar,food
89,City of London,51.5155,-0.0922,Barbican Cinema 1,51.51977328038166,-0.09354440073366277,Indie Movie Theater,arts_entertainment
90,City of London,51.5155,-0.0922,Enoteca De Luca,51.51315374130603,-0.09434704311605745,Italian Restaurant,food
91,City of London,51.5155,-0.0922,Burger & Lobster,51.51426052264303,-0.08552446737910804,Seafood Restaurant,food
92,City of London,51.5155,-0.0922,Ted Baker and Friends,51.51435303861619,-0.09469623423179926,Clothing Store,shops
93,City of London,51.5155,-0.0922,itsu,51.51483548230153,-0.09746781031687807,Sushi Restaurant,food
94,City of London,51.5155,-0.0922,Digme Fitness,51.51824415936594,-0.09074380686786175,Cycle Studio,shops
95,City of London,51.5155,-0.0922,AllSaints,51.51386105937596,-0.09575267173987265,Clothing Store,shops
96,City of London,51.5155,-0.0922,The Curve,51.51961341228371,-0.09362104457648,Art Gallery,arts_entertainment
97,City of London,51.5155,-0.0922,Enoteca da Luca,51.51559995090821,-0.09098084918706868,Wine Bar,food
98,City of London,51.5155,-0.0922,The Arbitrager,51.51490358235214,-0.08611712021676327,Pub,nightlife
99,City of London,51.5155,-0.0922,Ping Pong,51.5134608608823,-0.0947306917488213,Dim Sum Restaurant,food
100,Barking and Dagenham,51.5607,0.1557,Central Park,51.559560186523925,0.16198065419715413,Park,parks_outdoors
101,Barking and Dagenham,51.5607,0.1557,Beacontree Heath Leisure Centre,51.560996632647786,0.14893167876739952,Gym / Fitness Center,building
102,Barking and Dagenham,51.5607,0.1557,Crowlands Heath Golf Course,51.5624574601544,0.15581838045746524,Golf Course,parks_outdoors
103,Barking and Dagenham,51.5607,0.1557,Robert Clack Leisure Centre,51.56080801587019,0.15270422665309488,Martial Arts Dojo,shops
104,Barking and Dagenham,51.5607,0.1557,Becontree Heath Bus Station,51.56106458275284,0.15099763870239258,Bus Station,travel
105,Barking and Dagenham,51.5607,0.1557,Dagenham Swimming Pool,51.560945616266956,0.15005446022483504,Pool,parks_outdoors
106,Barking and Dagenham,51.5607,0.1557,Morrisons Becontree Heath,51.55977394731491,0.148752363274208,Supermarket,shops
107,Barnet,51.6252,-0.1517,The Atrium,51.62472636190746,-0.15193313586616436,Café,food
108,Barnet,51.6252,-0.1517,Made Curtains,51.62348535051596,-0.15356451272964478,Home Service,shops
109,Barnet,51.6252,-0.1517,Beaconsfield Road (BF),51.622827,-0.151466,Bus Stop,travel
110,Barnet,51.6252,-0.1517,Oakleigh Cafe,51.623411585838134,-0.15489890757188451,Café,food
111,Bexley,51.4549,0.1505,Wilko,51.45625655749089,0.1486077904701233,Furniture / Home Store,shops
112,Bexley,51.4549,0.1505,Zizzi,51.455928816351125,0.15055538643014188,Italian Restaurant,food
113,Bexley,51.4549,0.1505,TK Maxx,51.45648088296727,0.14783001276076954,Clothing Store,shops
114,Bexley,51.4549,0.1505,Bella Italia,51.456329769226734,0.14953672442231938,Italian Restaurant,food
115,Bexley,51.4549,0.1505,Prince Albert,51.45517132330244,0.15296517356821335,Pub,nightlife
116,Bexley,51.4549,0.1505,Bexleyheath Marriott Hotel,51.455186445139475,0.1522633730163534,Hotel,travel
117,Bexley,51.4549,0.1505,Lidl,51.45560577980248,0.1520513928259238,Supermarket,shops
118,Bexley,51.4549,0.1505,Sainsbury's,51.45597969661484,0.14907799138574127,Supermarket,shops
119,Bexley,51.4549,0.1505,Marks & Spencer,51.4562383031936,0.146193077829587,Grocery Store,shops
120,Bexley,51.4549,0.1505,Caffè Nero,51.456554,0.14422339,Coffee Shop,food
121,Bexley,51.4549,0.1505,Greggs,51.45625321485777,0.14556884765625,Bakery,food
122,Bexley,51.4549,0.1505,Boots,51.4556098367801,0.1454717116567963,Pharmacy,shops
123,Bexley,51.4549,0.1505,Bexleyheath Clock Tower,51.45650222546585,0.14730105380851832,Plaza,parks_outdoors
124,Bexley,51.4549,0.1505,Game,51.45652253934519,0.14715272419948858,Video Game Store,shops
125,Bexley,51.4549,0.1505,Subway,51.45644338503444,0.14481326192780902,Sandwich Place,food
126,Bexley,51.4549,0.1505,The Furze Wren (Wetherspoon),51.456745704147714,0.14779975223012579,Pub,nightlife
127,Bexley,51.4549,0.1505,Nando's,51.456654236086614,0.1473923248068082,Portuguese Restaurant,food
128,Bexley,51.4549,0.1505,New Look,51.45623,0.144922,Clothing Store,shops
129,Bexley,51.4549,0.1505,McDonald's,51.456233,0.147512,Fast Food Restaurant,food
130,Bexley,51.4549,0.1505,Cineworld,51.45584667620005,0.15035827172722124,Multiplex,arts_entertainment
131,Bexley,51.4549,0.1505,Frankie & Benny's,51.456179676867535,0.14991939067840576,American Restaurant,food
132,Bexley,51.4549,0.1505,Twin Palace,51.455425,0.152647,Chinese Restaurant,food
133,Bexley,51.4549,0.1505,Costa Coffee,51.456098198077505,0.1458198721711668,Coffee Shop,food
134,Bexley,51.4549,0.1505,Starbucks,51.456294,0.145901,Coffee Shop,food
135,Bexley,51.4549,0.1505,H&M,51.456369129759786,0.1454018224785614,Clothing Store,shops
136,Bexley,51.4549,0.1505,The Coach House,51.45501140279447,0.15460989217868296,Pub,nightlife
137,Bexley,51.4549,0.1505,Argos,51.45659063461894,0.14601220503821052,Warehouse Store,shops
138,Bexley,51.4549,0.1505,Burger King,51.4561611,0.1445089,Fast Food Restaurant,food
139,Brent,51.5588,-0.2817,Bobby Moore Statue,51.55741632766851,-0.27963542022910964,Outdoor Sculpture,parks_outdoors
140,Brent,51.5588,-0.2817,Wembley Stadium,51.55620863273832,-0.2795720100402832,Stadium,arts_entertainment
141,Brent,51.5588,-0.2817,Lindt,51.55641261280551,-0.284075806691675,Chocolate Shop,shops
142,Brent,51.5588,-0.2817,Cineworld,51.55687268824797,-0.2832280825206267,Multiplex,arts_entertainment
143,Brent,51.5588,-0.2817,Hilton London Wembley,51.55756605721054,-0.28228924799577476,Hotel,travel
144,Brent,51.5588,-0.2817,Lifestyle Fitness,51.55755570300318,-0.28560087718620786,Gym / Fitness Center,building
145,Brent,51.5588,-0.2817,SSE Arena,51.55820186582862,-0.281903902390923,Music Venue,arts_entertainment
146,Brent,51.5588,-0.2817,Pret A Manger,51.55635187118641,-0.2828860608400469,Sandwich Place,food
147,Brent,51.5588,-0.2817,Starbucks,51.558689,-0.281994,Coffee Shop,food
148,Brent,51.5588,-0.2817,Gap Outlet,51.55698117847861,-0.2844560689805625,Clothing Store,shops
149,Brent,51.5588,-0.2817,Las Iguanas,51.55649,-0.284167,Latin American Restaurant,food
150,Brent,51.5588,-0.2817,Costa Coffee,51.55632269860604,-0.28291010681428796,Coffee Shop,food
151,Brent,51.5588,-0.2817,Superdry,51.556922251574065,-0.2844794138892198,Clothing Store,shops
152,Brent,51.5588,-0.2817,PizzaExpress,51.556784,-0.284355,Pizza Place,food
153,Brent,51.5588,-0.2817,adidas,51.5567931,-0.2840042,Sporting Goods Shop,shops
154,Brent,51.5588,-0.2817,Bobby Moore Club,51.557140261455615,-0.2796102644320072,Restaurant,food
155,Brent,51.5588,-0.2817,Wembley Tandoori Restaurant,51.562062954096035,-0.2815721266214175,Indian Restaurant,food
156,Brent,51.5588,-0.2817,wagamama,51.556715403146626,-0.28312198265267374,Asian Restaurant,food
157,Brent,51.5588,-0.2817,Club Wembley,51.55637736062624,-0.2795816564347904,Bar,nightlife
158,Brent,51.5588,-0.2817,Novotel London Wembley,51.561279612294044,-0.27919654232789526,Hotel,travel
159,Brent,51.5588,-0.2817,Starbucks,51.559838,-0.27915,Coffee Shop,food
160,Brent,51.5588,-0.2817,Sky Bar 9,51.557535150453525,-0.2820141523204373,Roof Deck,travel
161,Brent,51.5588,-0.2817,London Designer Outlet,51.55688501392816,-0.2840479672737796,Outlet Mall,shops
162,Brent,51.5588,-0.2817,Black Sheep Coffee,51.56238438874359,-0.2797338732671051,Coffee Shop,food
163,Brent,51.5588,-0.2817,Moulin Cafe,51.562153,-0.2812514,Café,food
164,Brent,51.5588,-0.2817,treatz dessert parlour,51.557052740303696,-0.2823232217448381,Ice Cream Shop,food
165,Brent,51.5588,-0.2817,Tesco Express,51.557102486647906,-0.28570085763931274,Grocery Store,shops
166,Brent,51.5588,-0.2817,Sugar Mill Desserts,51.55774636527685,-0.2846128161639541,Bistro,food
167,Brent,51.5588,-0.2817,Boxpark Wembley,51.5604436376007,-0.2801533670792795,Food Court,shops
168,Brent,51.5588,-0.2817,Wembley Stadium Store,51.55742417307426,-0.2792530567848588,Sporting Goods Shop,shops
169,Brent,51.5588,-0.2817,Handmade Burger Co,51.556342760368985,-0.28353642742905083,Burger Joint,food
170,Brent,51.5588,-0.2817,"Hilton Icons Bar, Grill & Terrace",51.557594533843876,-0.28227261374649143,Hotel Bar,travel
171,Brent,51.5588,-0.2817,Caffè Nero,51.557049612763166,-0.2844729500872349,Coffee Shop,food
172,Brent,51.5588,-0.2817,Premier Inn London Wembley Park,51.56288543033887,-0.28113238513469696,Hotel,travel
173,Brent,51.5588,-0.2817,Sainsbury's Local,51.55895534349173,-0.2807066430217078,Grocery Store,shops
174,Brent,51.5588,-0.2817,Frankie & Benny’s,51.5567438,-0.2839129,American Restaurant,food
175,Brent,51.5588,-0.2817,Premier Inn London Wembley Stadium,51.55728172839609,-0.28267240342711375,Hotel,travel
176,Brent,51.5588,-0.2817,Cabana Brasilian Barbecue,51.55688408930489,-0.28240714042663945,Brazilian Restaurant,food
177,Brent,51.5588,-0.2817,Next Clearance,51.55681215251822,-0.2838086434677507,Clothing Store,shops
178,Brent,51.5588,-0.2817,St. George Hotel,51.55539360778452,-0.28625693007176123,Hotel,travel
179,Brent,51.5588,-0.2817,TGI Fridays,51.55711609955494,-0.2819855243093339,American Restaurant,food
180,Brent,51.5588,-0.2817,Arena Square,51.558277,-0.28142977,Plaza,parks_outdoors
181,Brent,51.5588,-0.2817,Costa Coffee,51.56104,-0.27930582,Coffee Shop,food
182,Brent,51.5588,-0.2817,Subway,51.55743523984106,-0.2842685163998342,Sandwich Place,food
183,Brent,51.5588,-0.2817,Nike Factory Store,51.5568043,-0.2833201,Sporting Goods Shop,shops
184,Brent,51.5588,-0.2817,Chaboba Bubble Tea,51.55744172054057,-0.28430158365290853,Bubble Tea Shop,food
185,Brent,51.5588,-0.2817,Olympic Way,51.562237,-0.2796374,Pedestrian Plaza,parks_outdoors
186,Brent,51.5588,-0.2817,Zizzi,51.556849786643056,-0.2835791851089198,Italian Restaurant,food
187,Brent,51.5588,-0.2817,The Blue Check,51.561216215258746,-0.28258078133127207,Bar,nightlife
188,Brent,51.5588,-0.2817,Sports Bar Wembley,51.56199077066958,-0.2819707633294399,Sports Bar,nightlife
189,Brent,51.5588,-0.2817,Prezzo,51.556717450068504,-0.2827529316058608,Italian Restaurant,food
190,Brent,51.5588,-0.2817,Lidl,51.56119889,-0.28099902,Supermarket,shops
191,Brent,51.5588,-0.2817,M&S Outlet,51.55702875643902,-0.2844831560784151,Outlet Store,shops
192,Brent,51.5588,-0.2817,Currys PC World,51.56118395313005,-0.2801596414261667,Electronics Store,shops
193,Brent,51.5588,-0.2817,McDonald's,51.56161659,-0.28130863,Fast Food Restaurant,food
194,Brent,51.5588,-0.2817,Guess,51.556792,-0.284278,Clothing Store,shops
195,Brent,51.5588,-0.2817,Big Moe's Diner,51.55631119336077,-0.28385281562805176,Diner,food
196,Brent,51.5588,-0.2817,Wembley VIP Bar,51.558121480574584,-0.2838901020280096,Music Venue,arts_entertainment
197,Brent,51.5588,-0.2817,Empire Restaurant,51.559877,-0.283784,English Restaurant,food
198,Brent,51.5588,-0.2817,Bobby Moore Spice,51.55853745980474,-0.2781518838062524,Indian Restaurant,food
199,Brent,51.5588,-0.2817,Holiday Inn London - Wembley,51.5557132231272,-0.2850506963295629,Hotel,travel
200,Brent,51.5588,-0.2817,Starbucks,51.556655,-0.283288,Coffee Shop,food
201,Brent,51.5588,-0.2817,Wenzel's,51.557553,-0.28434,Bakery,food
202,Brent,51.5588,-0.2817,Levi's,51.557019105496245,-0.2837938070297241,Clothing Store,shops
203,Brent,51.5588,-0.2817,New Balance,51.556984557141284,-0.28382508666288503,Sporting Goods Shop,shops
204,Brent,51.5588,-0.2817,Ibis Hotel Wembley London,51.55508506126031,-0.28488958154160804,Hotel,travel
205,Brent,51.5588,-0.2817,Bar 1999,51.556568844635926,-0.2800440788269043,Bar,nightlife
206,Brent,51.5588,-0.2817,Villeroy & Boch,51.556952094293365,-0.28443454749667013,Furniture / Home Store,shops
207,Brent,51.5588,-0.2817,The Works Outlet,51.55652882123261,-0.28386354446411133,Bookstore,shops
208,Brent,51.5588,-0.2817,H&M,51.556818,-0.284684,Clothing Store,shops
209,Brent,51.5588,-0.2817,Bar 1987,51.55633269086592,-0.2794790462125098,Bar,nightlife
210,Brent,51.5588,-0.2817,Wimpy,51.56207899313921,-0.2820121496915817,Burger Joint,food
211,Brent,51.5588,-0.2817,Nets Seafood Restaurant,51.55607147573398,-0.2790213305776472,Seafood Restaurant,food
212,Brent,51.5588,-0.2817,The Brewery Tap,51.555485,-0.27961057,Bar,nightlife
213,Bromley,51.4039,0.0198,wagamama,51.40407092128595,0.017984860118872348,Asian Restaurant,food
214,Bromley,51.4039,0.0198,unico,51.40218872288535,0.01572540329525701,Ice Cream Shop,food
215,Bromley,51.4039,0.0198,Apple Bromley,51.40279974210182,0.01594705796732128,Electronics Store,shops
216,Bromley,51.4039,0.0198,Marks & Spencer,51.4040396345557,0.0152368318996112,Department Store,shops
217,Bromley,51.4039,0.0198,Byron,51.404035,0.017646,Burger Joint,food
218,Bromley,51.4039,0.0198,Franco Manca,51.40599247890893,0.016180579695772232,Pizza Place,food
219,Bromley,51.4039,0.0198,Barrel & Horn,51.40588697867192,0.013701243249897743,Bar,nightlife
220,Bromley,51.4039,0.0198,Costa Coffee,51.40445786077074,0.016644623295269934,Coffee Shop,food
221,Bromley,51.4039,0.0198,Waterstones,51.40291952438397,0.01682649095790167,Bookstore,shops
222,Bromley,51.4039,0.0198,Pavilion Leisure Centre,51.403781401885205,0.018282276348230722,Gym / Fitness Center,building
223,Bromley,51.4039,0.0198,UNIQLO,51.402663753271575,0.017177432912394784,Clothing Store,shops
224,Bromley,51.4039,0.0198,Wilko,51.40108893998172,0.016260008598351305,Furniture / Home Store,shops
225,Bromley,51.4039,0.0198,Nando's,51.4059810423179,0.01608245968574302,Portuguese Restaurant,food
226,Bromley,51.4039,0.0198,Five Guys,51.40558,0.01549,Fast Food Restaurant,food
227,Bromley,51.4039,0.0198,Caffè Nero,51.40265291943126,0.01561586354182151,Coffee Shop,food
228,Bromley,51.4039,0.0198,Krispy Kreme,51.40512089655572,0.01656115625816279,Donut Shop,food
229,Bromley,51.4039,0.0198,Zara,51.40516910910544,0.016591308022986563,Clothing Store,shops
230,Bromley,51.4039,0.0198,Pret A Manger,51.40284537837934,0.015364469937377655,Sandwich Place,food
231,Bromley,51.4039,0.0198,PizzaExpress,51.40616145883821,0.01634893913706037,Pizza Place,food
232,Bromley,51.4039,0.0198,Next,51.404335588947,0.0147609896260599,Clothing Store,shops
233,Bromley,51.4039,0.0198,TK Maxx,51.402048021033785,0.01571688196900752,Clothing Store,shops
234,Bromley,51.4039,0.0198,Costa Coffee,51.40565254714627,0.015279469318499845,Coffee Shop,food
235,Bromley,51.4039,0.0198,Primark,51.405433641196765,0.0141848623752594,Clothing Store,shops
236,Bromley,51.4039,0.0198,Hotel Chocolat,51.40265612075676,0.01555009139635604,Chocolate Shop,shops
237,Bromley,51.4039,0.0198,The Partridge,51.40561472209578,0.01390071736216214,Pub,nightlife
238,Bromley,51.4039,0.0198,Lush,51.40376294287922,0.01682182488971731,Cosmetics Shop,shops
239,Bromley,51.4039,0.0198,Patisserie Valerie,51.405163618351175,0.016470255130996432,Café,food
240,Bromley,51.4039,0.0198,The Railway Tavern,51.40790174662663,0.016724847549452544,Bar,nightlife
241,Bromley,51.4039,0.0198,Paperchase,51.40411663665937,0.015277278234814532,Stationery Store,shops
242,Bromley,51.4039,0.0198,Aqua Bar and Grill,51.407493701141114,0.016466197595301338,Mediterranean Restaurant,food
243,Bromley,51.4039,0.0198,Benito's Hat,51.405699812141265,0.014783707545963377,Burrito Place,food
244,Bromley,51.4039,0.0198,YO! Sushi,51.403716698450545,0.01701185604152809,Sushi Restaurant,food
245,Bromley,51.4039,0.0198,Starbucks,51.4053,0.015538,Coffee Shop,food
246,Bromley,51.4039,0.0198,O'Neill's,51.40709108166277,0.01578432643531757,Irish Pub,nightlife
247,Bromley,51.4039,0.0198,PureGym,51.40165015064464,0.01638710433206253,Gym / Fitness Center,building
248,Bromley,51.4039,0.0198,Gourmet Burger Kitchen,51.40610577795602,0.015928412352650412,Burger Joint,food
249,Bromley,51.4039,0.0198,TruGym,51.40717001469955,0.01608907415918583,Gym,building
250,Bromley,51.4039,0.0198,Lidl,51.40403726,0.01457882,Supermarket,shops
251,Bromley,51.4039,0.0198,Caffè Nero,51.400063306125546,0.017092491932849077,Coffee Shop,food
252,Bromley,51.4039,0.0198,Miso,51.40650943384966,0.01567588605217642,Noodle House,food
253,Bromley,51.4039,0.0198,Greggs,51.4003651888548,0.017061502236051396,Bakery,food
254,Bromley,51.4039,0.0198,ASK Italian,51.406140999905034,0.01522463594369583,Italian Restaurant,food
255,Camden,51.529,-0.1255,The Sir John Ritblat Gallery: Treasures of the British Library,51.52966611994934,-0.12754091295813844,Museum,arts_entertainment
256,Camden,51.529,-0.1255,St. Pancras Renaissance Hotel London,51.5296995,-0.1258865,Hotel,travel
257,Camden,51.529,-0.1255,M&S Simply Food,51.53096383372583,-0.12559061912042324,Grocery Store,shops
258,Camden,51.529,-0.1255,Pullman London St Pancras,51.528521278066805,-0.12816088294108588,Hotel,travel
259,Camden,51.529,-0.1255,Pullman Hotel Breakfast Area,51.52848384502219,-0.12812580274204363,Breakfast Spot,food
260,Camden,51.529,-0.1255,Half Cup,51.52783791250915,-0.12495133730118925,Café,food
261,Camden,51.529,-0.1255,The Booking Office,51.53017744071451,-0.1257676494991838,Hotel Bar,travel
262,Camden,51.529,-0.1255,Origin Coffee Roasters,51.529133,-0.12661837,Coffee Shop,food
